,,,,
,,,,
Topic,Subtopic,Question,Answer,Problem difficulty,Output
Numpy,Vectorization and broadcasting,"Row-wise argmax of a 5x5 random int matrix (★☆☆)
Print the result.","Z = np.random.randint(0,10,(5,5)); print(Z.argmax(axis=1))",24,[2 1 0 0 2]
Numpy,Indexing and selection,"Create a 8x8 matrix and fill it with a checkerboard pattern (★☆☆)
Print the result.","Z = np.zeros((8,8),dtype=int)
Z[1::2,::2] = 1
Z[::2,1::2] = 1
print(Z)",24,"[[0 1 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0]
 [0 1 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0]
 [0 1 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0]
 [0 1 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0]]"
Numpy,Applied patterns and advanced,"Create a custom dtype that describes a color as four unsigned bytes (RGBA) (★☆☆)
Print the result.","color = np.dtype([('r', np.ubyte), ('g', np.ubyte), ('b', np.ubyte), ('a', np.ubyte)])
print(color)",24,"[('r', 'u1'), ('g', 'u1'), ('b', 'u1'), ('a', 'u1')]"
Numpy,Indexing and selection,"Create a 5x5 matrix with values 1,2,3,4 just below the diagonal (★☆☆)
Print the result.","Z = np.diag(1+np.arange(4),k=-1)
print(Z)",24,"[[0 0 0 0 0]
 [1 0 0 0 0]
 [0 2 0 0 0]
 [0 0 3 0 0]
 [0 0 0 4 0]]"
Numpy,Vectorization and broadcasting,"Compute the Frobenius norm of a 3x3 matrix (★☆☆)
Print the result.","Z = np.random.random((3,3)); print(np.linalg.norm(Z))",22,1.5646026648910527
Numpy,Vectorization and broadcasting,"Normalize a random vector to L2 norm 1 (★☆☆)
Print the result.",v = np.random.random(5); v /= np.linalg.norm(v); print(v),22,[0.38158715 0.16702306 0.22728842 0.51478185 0.71402673]
Numpy,Vectorization and broadcasting,"Subtract each row's mean from a 5x5 random matrix (★☆☆)
Print the result.","Z = np.random.random((5,5)); Z -= Z.mean(axis=1, keepdims=True); print(Z)",22,"[[-0.18075516 -0.33656325  0.43336769  0.03705023  0.04690049]
 [-0.07416761  0.05931944 -0.25957298  0.08563998  0.18878116]
 [-0.18972818 -0.09626449  0.1565576  -0.07345407  0.20288914]
 [-0.11746031  0.12000872  0.33778269 -0.15196078 -0.18837032]
 [-0.16436352 -0.38635364  0.36401961 -0.19494465  0.3816422 ]]"
Numpy,Core array literacy,"Create reproducible random numbers using a seed (★☆☆)
Print the result.",rng = np.random.default_rng(42); print(rng.random(3)),22,[0.77395605 0.43887844 0.85859792]
